"","videoId","textDisplay","textOriginal","authorDisplayName","authorProfileImageUrl","authorChannelUrl","authorChannelId.value","canRate","viewerRating","likeCount","publishedAt","updatedAt"
"88","1Z6CHioIn3s","O PAI TA NO CLIPE KARALHO","O PAI TA NO CLIPE KARALHO","videofacul","https://yt3.ggpht.com/ytc/AKedOLSbJ-NZtYFY-zQW_FfWpEcbxHuLwTVUKN2qHAZ4oHg7Deelrviycsnnw_9HGSSr=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCJC-1gKbUTAFeQqs9RiiNRQ","UCJC-1gKbUTAFeQqs9RiiNRQ","TRUE","none","0","2021-10-09T23:01:02Z","2021-10-09T23:01:02Z"
"89","1Z6CHioIn3s","A referência a jogos vorazes <U+0001F6D0>","A referência a jogos vorazes <U+0001F6D0>","edu hazuki","https://yt3.ggpht.com/ytc/AKedOLSxG3mhYQ_dAls6hl-h1Ob6K0KL4wqFOl5egA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCFo7pzJ2gal_w5k78i89xLg","UCFo7pzJ2gal_w5k78i89xLg","TRUE","none","0","2021-10-09T22:37:10Z","2021-10-09T22:37:10Z"
"90","1Z6CHioIn3s","Lovelyyyyy <U+0001F60D><U+0001F60D><U+0001F60D><U+0001F60D><U+0001F60D>","Lovelyyyyy <U+0001F60D><U+0001F60D><U+0001F60D><U+0001F60D><U+0001F60D>","Adalberto Castro Neto","https://yt3.ggpht.com/ytc/AKedOLR8X83wfFrkHoCAsL8ZokTddtwvnNygZSLQEA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCLUx5xSpBMFYTjtK0k9YEwA","UCLUx5xSpBMFYTjtK0k9YEwA","TRUE","none","0","2021-10-09T22:35:15Z","2021-10-09T22:35:15Z"
"91","1Z6CHioIn3s","I donot play lol but man thier music videos are awesome.","I donot play lol but man thier music videos are awesome.","Sebastian Fer","https://yt3.ggpht.com/ytc/AKedOLRsHjCX7cwiodF0gEBCaoSzMlmKj-8kpMHoeBPWnA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCrJ8xQhbww730laWryBcNoA","UCrJ8xQhbww730laWryBcNoA","TRUE","none","0","2021-10-09T22:25:12Z","2021-10-09T22:25:12Z"
"92","1Z6CHioIn3s","Deberian sacar un anime","Deberian sacar un anime","Marco Adarmes","https://yt3.ggpht.com/ytc/AKedOLQyvxtvKu46-GvgqPJoPlmv44XY2qB_drCytMik=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCqt3mGs_eET_Fj0cR_KAhaw","UCqt3mGs_eET_Fj0cR_KAhaw","TRUE","none","0","2021-10-09T22:21:18Z","2021-10-09T22:21:18Z"
"93","1Z6CHioIn3s","Ngl I&#39;m kinda more interested in this as the &#39;League of Legends&#39; anime as opposed to the actual lore of the champions.","Ngl I'm kinda more interested in this as the 'League of Legends' anime as opposed to the actual lore of the champions.","Ridikis","https://yt3.ggpht.com/ytc/AKedOLSsIDGuzCnz7zE0AVeMhSfYyUzhAcytK9l3fPb73w=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCfjOokGkrSlXCn11EEskXAQ","UCfjOokGkrSlXCn11EEskXAQ","TRUE","none","0","2021-10-09T22:17:59Z","2021-10-09T22:17:59Z"
"94","1Z6CHioIn3s","INCRÍVEL","INCRÍVEL","Lorenzo Ravalha","https://yt3.ggpht.com/ytc/AKedOLRw2lBjMYkt06IrgZs2TbNQHNjPchwKidtuCn2Xkg=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCtD9WfVhZzrDQL0sKdsWxqg","UCtD9WfVhZzrDQL0sKdsWxqg","TRUE","none","1","2021-10-09T22:06:46Z","2021-10-09T22:06:46Z"
"95","1Z6CHioIn3s","parabéns, otima animação.","parabéns, otima animação.","felipe camargo","https://yt3.ggpht.com/ytc/AKedOLT9fkfBEogtUEJxwbogWG-rVqN_G01tlJEjcw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCziaBSLGvbpuVmaNo5qOLUQ","UCziaBSLGvbpuVmaNo5qOLUQ","TRUE","none","0","2021-10-09T22:00:12Z","2021-10-09T22:00:12Z"
"96","1Z6CHioIn3s","Coming here after every BO5 I AM SO HYPED FOR THIS WORLDS","Coming here after every BO5 I AM SO HYPED FOR THIS WORLDS","Perni CiousThought","https://yt3.ggpht.com/ytc/AKedOLQ4XduXaEfbPC3-Eg12dPL55odrzn_0pBQDaHc0=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UC5YCPd2Q_Ql-1rR9Mliat3g","UC5YCPd2Q_Ql-1rR9Mliat3g","TRUE","none","0","2021-10-09T21:35:09Z","2021-10-09T21:35:09Z"
"97","1Z6CHioIn3s","The animations are fire but I kinda dislike the song, miss songs like Rise or Take Over.","The animations are fire but I kinda dislike the song, miss songs like Rise or Take Over.","Ekberg","https://yt3.ggpht.com/ytc/AKedOLS14__AKG_3zp8QQsWp75fyd8UKBp626UH5_A=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCyVF-dnsB7dBj5WBjSBywFg","UCyVF-dnsB7dBj5WBjSBywFg","TRUE","none","0","2021-10-09T21:24:45Z","2021-10-09T21:24:45Z"
"98","1Z6CHioIn3s","it remembered me of chaotic","it remembered me of chaotic","Overheat","https://yt3.ggpht.com/ytc/AKedOLTUPWQhhTUgS8O9vKVPW_p62toUjaCJnSZ0BIxKhA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCBWoA5uTqVbcGgxX1qzt0mA","UCBWoA5uTqVbcGgxX1qzt0mA","TRUE","none","0","2021-10-09T21:17:05Z","2021-10-09T21:17:05Z"
"99","1Z6CHioIn3s","wea malarda","wea malarda","Mauricio Ramirez","https://yt3.ggpht.com/ytc/AKedOLSy6eFloZ6c7iGA45L9RUKfLzpS_MZJXNMI=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCGyz_b-LCBVI4MpUUm7a0JQ","UCGyz_b-LCBVI4MpUUm7a0JQ","TRUE","none","0","2021-10-09T21:04:37Z","2021-10-09T21:04:37Z"
"100","1Z6CHioIn3s","<U+0432><U+0441><U+0451>, <U+0436><U+0434><U+0443> <U+0430><U+043D><U+0438><U+043C><U+0435> <U+043F><U+043E> <U+043B><U+0438><U+0433><U+0435> <U+043B><U+0435><U+0433><U+0435><U+043D><U+0434>","<U+0432><U+0441><U+0451>, <U+0436><U+0434><U+0443> <U+0430><U+043D><U+0438><U+043C><U+0435> <U+043F><U+043E> <U+043B><U+0438><U+0433><U+0435> <U+043B><U+0435><U+0433><U+0435><U+043D><U+0434>","Patapuff Channel","https://yt3.ggpht.com/ytc/AKedOLRYtTmzRRcYgmwqtNVc56E5yuR8nXSzsCugmCskZA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCwPlu0iHwYKdhbuPD1-xOrA","UCwPlu0iHwYKdhbuPD1-xOrA","TRUE","none","0","2021-10-09T20:58:52Z","2021-10-09T20:58:52Z"
